date,week,cases with onset in last 2 weeks
180102,1,14
180105,1,53
180111,2,56
180112,2,46
180115,3,47
180119,3,37
180122,4,23
180126,4,25
180129,5,16
180202,5,20
180205,6,17
180209,6,27
180212,7,19
180215,7,20
180219,8,9
180223,8,3
180226,9,4
180302,9,3
180305,10,6
180309,10,21
180312,11,11
180316,11,14
180320,12,16
180323,12,12
180326,13,6
180329,13,10
180402,14,10
180406,14,22
180409,15,23
180413,15,25
180416,16,20
180420,16,28
180423,17,27
180427,17,39
180430,18,35
180504,18,56
180507,19,42
180511,19,42
180514,20,29
180518,20,25
180521,21,18
180525,21,39
180528,22,32
180601,22,32
180604,23,21
180608,23,28
180611,24,20
180614,24,30
180618,25,33
180622,25,18
180625,26,12
180629,26,27
180702,27,27
180706,27,22
180709,28,24
180713,28,14
180716,29,13
180720,29,16
180723,30,7
180727,30,15
180730,31,17
180803,31,13
180806,32,11
180810,32,24
180813,33,21
180817,33,18
180820,34,21
180824,34,25
180827,35,25
180831,35,40
180903,36,28
180907,36,37
180910,37,30
180914,37,41
180917,38,24
180921,38,30
180925,39,35
180928,39,28
181001,40,20
181005,40,20
181008,41,17
181012,41,21
181015,42,23
181019,42,29
181022,43,22
181026,43,32
181029,44,39
181102,44,45
181105,45,38
181116,46,51
181119,47,50
181123,47,65
181126,48,53
181130,48,61
181203,49,47
181207,49,46
181210,50,53
181214,50,53
181217,51,46
181221,51,72
181224,52,64
181228,52,98
181231,1,88
