date,week,cases with onset in last 2 weeks
150102,1,54
150107,2,91
150109,2,88
150112,3,88
150116,3,106
150119,4,89
150123,4,96
150126,5,69
150130,5,119
150202,6,101
150206,6,108
150209,7,68
150213,7,86
150216,8,60
150223,9,35
150227,9,45
150302,10,55
150306,10,48
150309,11,39
150313,11,62
150316,12,51
150320,12,33
150323,13,30
150327,13,42
150330,14,42
150402,14,45
150406,15,36
150410,15,38
150413,16,27
150417,16,35
150420,17,35
150424,17,26
150427,18,20
150430,18,34
150508,19,57
150511,20,52
150515,20,66
150518,21,51
150522,21,43
150525,22,33
150529,22,68
150602,23,63
150605,23,60
150608,24,56
150612,24,74
150615,25,59
150622,26,87
150626,26,115
150629,27,114
150703,27,136
150706,28,102
150710,28,132
150713,29,110
150716,29,135
150720,30,94
150724,30,145
150731,31,153
150803,32,108
150811,33,74
150817,34,69
150825,35,104
150831,36,94
150904,36,137
150910,37,137
150914,38,95
150928,40,126
151002,40,150
151009,41,163
151016,42,137
151026,44,123
151030,44,159
151102,45,125
151109,46,145
151116,47,126
151123,48,101
151130,49,142
151204,49,181
151214,51,164
151221,52,224
151228,53,201
151231,53,344
