date,week,cases with onset in last 2 weeks
160104,1,244
160108,1,348
160111,2,342
160115,2,458
160118,3,440
160122,3,568
160126,4,574
160129,4,572
160201,5,496
160205,5,479
160210,6,339
160212,6,342
160215,7,312
160219,7,394
160223,8,429
160226,8,459
160301,9,371
160304,9,333
160307,10,310
160311,10,260
160314,11,233
160318,11,299
160322,12,259
160324,12,249
160329,13,211
160401,13,236
160404,14,222
160408,14,245
160411,15,182
160415,15,172
160418,16,123
160422,16,130
160425,17,118
160429,17,167
160503,18,146
160506,18,139
160509,19,101
160513,19,129
160517,20,130
160520,20,178
160524,21,123
160527,21,119
160530,22,101
160603,22,117
160606,23,89
160610,23,117
160613,24,98
160617,24,93
160620,25,81
160624,25,110
160630,26,138
160701,26,131
160704,27,116
160708,27,152
160712,28,172
160715,28,171
160718,29,125
160722,29,118
160726,30,127
160729,30,162
160801,31,131
160805,31,136
160810,32,117
160812,32,113
160816,33,106
160819,33,125
160823,34,130
160826,34,166
160829,35,134
160902,35,176
160905,36,156
160909,36,169
160913,37,116
160916,37,129
160919,38,112
160923,38,101
160926,39,77
160930,39,65
161003,40,46
161007,40,59
161010,41,52
161014,41,48
161017,42,42
161021,42,42
161024,43,37
161028,43,32
161031,44,21
161104,44,28
161107,45,20
161111,45,16
161114,46,21
161118,46,20
161121,47,17
161125,47,16
161128,48,14
161202,48,35
161205,49,30
161209,49,28
161212,50,27
161216,50,15
161219,51,19
161223,51,32
161227,52,35
161230,52,17
