unique location,lat,long,geometry,nearest_weather_station
Mergui Rd,1.317029,103.8522969,POINT (103.8522969 1.317029),Ang Mo Kio
Redhill Ln ,1.2880989999999999,103.81872990000001,POINT (103.8187299 1.288099),Marina Barrage
Pasir Ris St 12 ,1.3666166000000002,103.95874520000001,POINT (103.9587452 1.3666166),Changi
Boon Lay Dr ,1.3437874,103.7127992,POINT (103.7127992 1.3437874),Tuas South
Tampines Rd,1.3684742,103.91004620000001,POINT (103.9100462 1.3684742),Ang Mo Kio
Clover Cres,1.3507903,103.8447944,POINT (103.8447944 1.3507903),Ang Mo Kio
Senja Cl ,1.3866896,103.76192979999999,POINT (103.7619298 1.3866896),Khatib
Jurong West St 62 ,1.3404451000000002,103.70097840000001,POINT (103.7009784 1.3404451),Tuas South
Lor 14 Geylang,1.3112979999999999,103.8791603,POINT (103.8791603 1.311298),Marina Barrage
Woodlands St 31 ,1.4304843,103.774978,POINT (103.774978 1.4304843),Khatib
Changi Rd,1.3182725,103.90858409999998,POINT (103.9085841 1.3182725),Marina Barrage
 Pasir Ris Dr 6 ,1.3720207,103.95676740000002,POINT (103.9567674 1.3720207),Changi
Tampines St 32,1.3537995,103.9579087,POINT (103.9579087 1.3537995),Changi
Joo SengRd ,1.3363406,103.8819507,POINT (103.8819507 1.3363406),Ang Mo Kio
Lor Marzuki ,1.3224195,103.9089218,POINT (103.9089218 1.3224195),Marina Barrage
"Kings Dr, Rd",1.3193423999999998,103.80658620000001,POINT (103.8065862 1.3193424),Ang Mo Kio
"East Coast Rd, Ter",1.3090566000000001,103.91269059999999,POINT (103.9126906 1.3090566),Marina Barrage
"Eastwood Dr,Green, Pl, Ter,Way ",1.3233243000000001,103.9557363,POINT (103.9557363 1.3233243),Changi
Yishun St 72,1.4267849,103.83266040000001,POINT (103.8326604 1.4267849),Khatib
Tampines Ctrl 1 ,1.3545669,103.9452518,POINT (103.9452518 1.3545669),Changi
Frankel Ter ,1.3188870000000001,103.91436999999999,POINT (103.91437 1.318887),Marina Barrage
Joo Chiat Walk,1.3099091,103.90202690000001,POINT (103.9020269 1.3099091),Marina Barrage
Lentor Green,1.3862333,103.8374074,POINT (103.8374074 1.3862333),Khatib
Clementi Ave 5,1.317268,103.7680375,POINT (103.7680375 1.317268),Ang Mo Kio
Mt Emily Rd ,1.3046526000000003,103.8487671,POINT (103.8487671 1.3046526),Marina Barrage
Ang Mo Kio Ave10 ,1.366942,103.856596,POINT (103.856596 1.366942),Ang Mo Kio
Woodlands Dr 16 ,1.4300614999999999,103.7945328,POINT (103.7945328 1.4300615),Khatib
Jurong West St61 ,1.3385893,103.69849640000001,POINT (103.6984964 1.3385893),Tuas South
Marlene Ave ,1.3606986,103.8710964,POINT (103.8710964 1.3606986),Ang Mo Kio
Happy Ave Nth,1.3310598999999999,103.8810156,POINT (103.8810156 1.3310599),Ang Mo Kio
Upper Serangoon Cres ,1.3773101,103.90055699999999,POINT (103.900557 1.3773101),Ang Mo Kio
"Bedok Ln, Walk ",1.3288153,103.9479887,POINT (103.9479887 1.3288153),Changi
Geylang East Ave 2 ,1.3176923,103.88877579999999,POINT (103.8887758 1.3176923),Marina Barrage
Pasir Ris Dr 10,1.3789458,103.9377105,POINT (103.9377105 1.3789458),Changi
Bt Batok St 52,1.3563858,103.75331059999999,POINT (103.7533106 1.3563858),Ang Mo Kio
Woodlands Lk,1.4311366,103.7971014,POINT (103.7971014 1.4311366),Khatib
Lor Selangat ,1.345603,103.8686469,POINT (103.8686469 1.345603),Ang Mo Kio
Lor H TelokKurau,1.3162713,103.91074909999999,POINT (103.9107491 1.3162713),Marina Barrage
Bedok Reservoir View,1.3368263999999999,103.936717,POINT (103.936717 1.3368264),Changi
Compassvale Bow,1.3815072,103.8936639,POINT (103.8936639 1.3815072),Ang Mo Kio
Holland Rd,1.3129427,103.7983813,POINT (103.7983813 1.3129427),Ang Mo Kio
Balmoral Rd,1.3152916000000001,103.83267159999998,POINT (103.8326716 1.3152916),Ang Mo Kio
Lor Sarina ,1.3196698,103.9077417,POINT (103.9077417 1.3196698),Marina Barrage
Jln Tiga Ratus ,1.3415552,103.9600693,POINT (103.9600693 1.3415552),Changi
Pending Rd ,1.3762378999999998,103.7710963,POINT (103.7710963 1.3762379),Khatib
"Joo Chiat Ave, Pl",1.3159035,103.9116366,POINT (103.9116366 1.3159035),Marina Barrage
Telok Blangah Cres ,1.2770566,103.820226,POINT (103.820226 1.2770566),Marina Barrage
Woodlands Centre Rd ,1.4377773999999999,103.7710621,POINT (103.7710621 1.4377774),Khatib
Bt Batok WestAve 5 ,1.3585254999999998,103.7425132,POINT (103.7425132 1.3585255),Ang Mo Kio
Jurong West St 25 ,1.35401,103.7038569,POINT (103.7038569 1.35401),Tuas South
"Defu Ln 4, 7",1.3586982,103.8967371,POINT (103.8967371 1.3586982),Ang Mo Kio
"Joo Hiang Rd, Serangoon Central ",1.353078,103.8750824,POINT (103.8750824 1.353078),Ang Mo Kio
Hougang Ave 8,1.3747735,103.8883372,POINT (103.8883372 1.3747735),Ang Mo Kio
Jln Isnin ,1.3530928999999998,103.837176,POINT (103.837176 1.3530929),Ang Mo Kio
Clementi St 11 ,1.3221737,103.7705122,POINT (103.7705122 1.3221737),Ang Mo Kio
"Jln Kelichap, Jln Lokam ",1.3468833999999998,103.8813653,POINT (103.8813653 1.3468834),Ang Mo Kio
Holland Cl ,1.3075068,103.7957992,POINT (103.7957992 1.3075068),Ang Mo Kio
Marigold Dr,1.3537365,103.82871690000002,POINT (103.8287169 1.3537365),Ang Mo Kio
S'goon Central Drive ,1.3546563999999999,103.8716088,POINT (103.8716088 1.3546564),Ang Mo Kio
Chestnut Dr,1.3692511,103.7695212,POINT (103.7695212 1.3692511),Khatib
Jln Hikayat ,1.4381043,103.82739609999999,POINT (103.8273961 1.4381043),Khatib
Hougang St 91 ,1.3771029,103.8821387,POINT (103.8821387 1.3771029),Ang Mo Kio
Simei Ln ,1.343335,103.9583955,POINT (103.9583955 1.343335),Changi
Jln Hock Chye ,1.3590535,103.8903717,POINT (103.8903717 1.3590535),Ang Mo Kio
Wilkinson Rd,1.3026351999999999,103.8908503,POINT (103.8908503 1.3026352),Marina Barrage
Jurong WestAve 3 ,1.35189,103.7046678,POINT (103.7046678 1.35189),Tuas South
Bedok Nth Ave 3 ,1.3312608999999997,103.93427740000001,POINT (103.9342774 1.3312609),Changi
Woodlands Dr 73 ,1.4410235,103.8060957,POINT (103.8060957 1.4410235),Khatib
Nemesu Ave ,1.3749863000000002,103.82754709999999,POINT (103.8275471 1.3749863),Ang Mo Kio
Aljunied Cres,1.3202748,103.8856818,POINT (103.8856818 1.3202748),Marina Barrage
East Coast Ter ,1.3109327,103.9226997,POINT (103.9226997 1.3109327),Marina Barrage
Bishan St 11,1.3465053,103.8522641,POINT (103.8522641 1.3465053),Ang Mo Kio
"Bedok Pl, Rd",1.325597,103.95359499999999,POINT (103.953595 1.325597),Changi
Jln Raja Udang ,1.3271319,103.8423411,POINT (103.8423411 1.3271319),Ang Mo Kio
Jln Damai,1.3334879,103.9094395,POINT (103.9094395 1.3334879),Ang Mo Kio
Jervois Rd,1.2949322,103.8212073,POINT (103.8212073 1.2949322),Marina Barrage
 Bt Mugliston ,1.3862146,103.8777032,POINT (103.8777032 1.3862146),Ang Mo Kio
Jalan Kechot,1.321949,103.90682220000001,POINT (103.9068222 1.321949),Marina Barrage
Dorset Rd ,1.3134014999999999,103.8503232,POINT (103.8503232 1.3134015),Ang Mo Kio
Toh Guan Rd,1.3363443000000002,103.74759470000001,POINT (103.7475947 1.3363443),Ang Mo Kio
Upp Changi Rd East ,1.3374077,103.95952249999999,POINT (103.9595225 1.3374077),Changi
Lengkong Tujoh ,1.3288736,103.9146578,POINT (103.9146578 1.3288736),Marina Barrage
"Tai Keng Gdns, Ter",1.3472031999999998,103.8849541,POINT (103.8849541 1.3472032),Ang Mo Kio
Happy Ave Ctrl ,1.3304365,103.8808861,POINT (103.8808861 1.3304365),Ang Mo Kio
Florence Rd ,1.3656622,103.8859105,POINT (103.8859105 1.3656622),Ang Mo Kio
Morning Glory),1.3528118,103.7261563,POINT (103.7261563 1.3528118),Tuas South
Seletar West Farmway 6,1.397646,103.86535450000001,POINT (103.8653545 1.397646),Khatib
"Fulton Ave, Rd ",1.3618303999999999,103.8337428,POINT (103.8337428 1.3618304),Ang Mo Kio
West Coast Cres,1.2980114999999999,103.7656587,POINT (103.7656587 1.2980115),Ang Mo Kio
Tampines Ave5 ,1.3503014,103.94149200000001,POINT (103.941492 1.3503014),Changi
Carlisle Rd ,1.314383,103.8480691,POINT (103.8480691 1.314383),Ang Mo Kio
Ang Mo KioAve 3 ,1.3689086000000001,103.8572848,POINT (103.8572848 1.3689086),Ang Mo Kio
Woodlands St81 ,1.4414768,103.789208,POINT (103.789208 1.4414768),Khatib
Punggol Field ,1.3994718000000002,103.9056655,POINT (103.9056655 1.3994718),Khatib
Tampines Ave 7 ,1.3566405000000001,103.9510693,POINT (103.9510693 1.3566405),Changi
Koh Sek Lim Rd,1.3308948,103.9552077,POINT (103.9552077 1.3308948),Changi
Jln Batai ,1.3708496000000001,103.8287973,POINT (103.8287973 1.3708496),Ang Mo Kio
Loyang Besar Cl ,1.3780874,103.9583704,POINT (103.9583704 1.3780874),Changi
Choa Chu KangSt 62 ,1.39885,103.746659,POINT (103.746659 1.39885),Khatib
Jurong West St 52,1.3481732,103.7177667,POINT (103.7177667 1.3481732),Tuas South
Upp Boon KengRd ,1.314381,103.8720873,POINT (103.8720873 1.314381),Marina Barrage
Lor 15 Geylang,1.3128214,103.87837370000001,POINT (103.8783737 1.3128214),Marina Barrage
"Kings Dr, Rd ",1.3193423999999998,103.80658620000001,POINT (103.8065862 1.3193424),Ang Mo Kio
Bt Batok St 33 ,1.3619341999999999,103.74727170000001,POINT (103.7472717 1.3619342),Khatib
Woodlands Dr 75 ,1.4425784,103.8070288,POINT (103.8070288 1.4425784),Khatib
Ang Mo Kio Ind Pk 2,1.3743588,103.86263149999999,POINT (103.8626315 1.3743588),Ang Mo Kio
Ghim Moh Rd ,1.3117378,103.7874454,POINT (103.7874454 1.3117378),Ang Mo Kio
Borthwick Dr ,1.3615631000000001,103.86195490000001,POINT (103.8619549 1.3615631),Ang Mo Kio
Corporation Walk ,1.339587,103.71844499999999,POINT (103.718445 1.339587),Tuas South
Dairy Farm Rd ,1.3646843000000002,103.7732862,POINT (103.7732862 1.3646843),Ang Mo Kio
Margate Rd ,1.2990981000000001,103.88891159999999,POINT (103.8889116 1.2990981),Marina Barrage
"Lor 24A, 26, 28, 32 Geylang ",1.3124236,103.8839383,POINT (103.8839383 1.3124236),Marina Barrage
Punggol Ctrl ,1.4022903999999998,103.9070022,POINT (103.9070022 1.4022904),Khatib
River Valley Rd ,1.2955326,103.8378235,POINT (103.8378235 1.2955326),Marina Barrage
Bedok Ter,1.3253979999999999,103.94799609999998,POINT (103.9479961 1.325398),Changi
Woodlands Dr 40 ,1.4421275,103.79600190000001,POINT (103.7960019 1.4421275),Khatib
Ang Mo Kio Ave 10 ,1.366942,103.856596,POINT (103.856596 1.366942),Ang Mo Kio
Woodlands Dr 62,1.4394069,103.8052876,POINT (103.8052876 1.4394069),Khatib
Braddell Rise ,1.3413494,103.843625,POINT (103.843625 1.3413494),Ang Mo Kio
Ubi Ave 4,1.3339812,103.893899,POINT (103.893899 1.3339812),Ang Mo Kio
"Lor 8, 12 Geylang",1.3117531,103.87699309999999,POINT (103.8769931 1.3117531),Marina Barrage
Woodlands Dr 52,1.4340433000000001,103.7994684,POINT (103.7994684 1.4340433),Khatib
Bedok Reservoir Rd,1.3370403,103.92154790000001,POINT (103.9215479 1.3370403),Changi
"Tai Hwan Ave, Cl",1.3570536,103.8616578,POINT (103.8616578 1.3570536),Ang Mo Kio
Kaki Bt Ave 2 ,1.3365938999999998,103.9009088,POINT (103.9009088 1.3365939),Ang Mo Kio
Farrer Rd,1.3174774999999999,103.80773740000001,POINT (103.8077374 1.3174775),Ang Mo Kio
Woodlands Ave 5,1.4350934,103.7924502,POINT (103.7924502 1.4350934),Khatib
West Coast Rise,1.3160914,103.7537494,POINT (103.7537494 1.3160914),Ang Mo Kio
Raglan Gr ,1.3644946000000002,103.8691692,POINT (103.8691692 1.3644946),Ang Mo Kio
Kurau Ter ,1.3119979,103.9155907,POINT (103.9155907 1.3119979),Marina Barrage
"Mimosa Cres, Rd, View ",1.3851069999999999,103.8629337,POINT (103.8629337 1.385107),Khatib
Tampines St 21,1.3516209,103.9496392,POINT (103.9496392 1.3516209),Changi
Jln Limbok ,1.365868,103.8762804,POINT (103.8762804 1.365868),Ang Mo Kio
Woodlands Ave 1 ,1.4314714,103.7851183,POINT (103.7851183 1.4314714),Khatib
Bt Batok East Ave 4 ,1.349414,103.7583806,POINT (103.7583806 1.349414),Ang Mo Kio
Lor 4 Toa Payoh ,1.3356245,103.85076190000001,POINT (103.8507619 1.3356245),Ang Mo Kio
Joo Hiang Rd ,1.353078,103.8750824,POINT (103.8750824 1.353078),Ang Mo Kio
"Lor 5, 6 Rea",1.3336887,103.8531666,POINT (103.8531666 1.3336887),Ang Mo Kio
Woodlands Ave 1,1.4314714,103.7851183,POINT (103.7851183 1.4314714),Khatib
Tampines Ave 9 ,1.3603011999999999,103.9433478,POINT (103.9433478 1.3603012),Changi
Bt Batok St 41 ,1.3561508999999998,103.74165550000001,POINT (103.7416555 1.3561509),Ang Mo Kio
Jln Rabu ,1.3534165,103.8374688,POINT (103.8374688 1.3534165),Ang Mo Kio
Jurong West St 91,1.3418091,103.68985490000001,POINT (103.6898549 1.3418091),Tuas South
Bedok North Ave 4 ,1.3349588,103.9435684,POINT (103.9435684 1.3349588),Changi
Dunman Rd ,1.3095417999999999,103.89615440000001,POINT (103.8961544 1.3095418),Marina Barrage
Lor 8 Geylang ,1.3104433000000002,103.87720999999999,POINT (103.87721 1.3104433),Marina Barrage
Sungei Kadut St 4,1.4210641000000002,103.7474745,POINT (103.7474745 1.4210641),Khatib
Jln Lakum ,1.3853212,103.8721745,POINT (103.8721745 1.3853212),Ang Mo Kio
Harvey Rd,1.3334982,103.8844686,POINT (103.8844686 1.3334982),Ang Mo Kio
Spottiswoode Pk Rd ,1.2752989,103.83726829999999,POINT (103.8372683 1.2752989),Marina Barrage
Dunbar Walk,1.3126061000000002,103.9166691,POINT (103.9166691 1.3126061),Marina Barrage
St George's Ln ,1.3223133999999999,103.8617541,POINT (103.8617541 1.3223134),Ang Mo Kio
Kurau Pl ,1.3118148,103.91452120000001,POINT (103.9145212 1.3118148),Marina Barrage
Rivervale Dr,1.3872989,103.9045675,POINT (103.9045675 1.3872989),Ang Mo Kio
Punggol Pl ,1.4030918,103.9030684,POINT (103.9030684 1.4030918),Khatib
Thomson Rd ,1.3286296,103.84036390000001,POINT (103.8403639 1.3286296),Ang Mo Kio
Siglap Plain,1.3176343000000001,103.9172348,POINT (103.9172348 1.3176343),Marina Barrage
Jln Bunga Rampai ,1.3397143,103.8834245,POINT (103.8834245 1.3397143),Ang Mo Kio
Hillside Dr,1.3577472,103.8773652,POINT (103.8773652 1.3577472),Ang Mo Kio
Yishun Central ,1.4263378,103.8405467,POINT (103.8405467 1.4263378),Khatib
Daisy Rd ,1.3440149,103.86769090000001,POINT (103.8676909 1.3440149),Ang Mo Kio
Corporation Rise,1.3395758999999998,103.71741490000001,POINT (103.7174149 1.3395759),Tuas South
Braemar Dr ,1.3613079,103.8614469,POINT (103.8614469 1.3613079),Ang Mo Kio
Hougang Ave 1 ,1.3544184,103.889824,POINT (103.889824 1.3544184),Ang Mo Kio
"Amber Gdns, Rd",1.3013325,103.8991142,POINT (103.8991142 1.3013325),Marina Barrage
Simei Street 3,1.3418992,103.9532374,POINT (103.9532374 1.3418992),Changi
Punggol Dr ,1.4031478000000002,103.91139179999999,POINT (103.9113918 1.4031478),Khatib
Kim Tian Pl,1.2832909,103.8286676,POINT (103.8286676 1.2832909),Marina Barrage
Marine Ter ,1.3051032,103.9153271,POINT (103.9153271 1.3051032),Marina Barrage
Jln Mata Ayer ,1.4260688999999998,103.8239374,POINT (103.8239374 1.4260689),Khatib
Tampines St 91,1.348355,103.9391248,POINT (103.9391248 1.348355),Changi
Bt Mugliston ,1.3862146,103.8777032,POINT (103.8777032 1.3862146),Ang Mo Kio
Bt Batok St 34 ,1.3637652,103.7499928,POINT (103.7499928 1.3637652),Khatib
Kg Arang Rd,1.3001368999999998,103.8822052,POINT (103.8822052 1.3001369),Marina Barrage
Sirat Pl ,1.3583333999999998,103.875718,POINT (103.875718 1.3583334),Ang Mo Kio
Leith Pk ,1.3620971000000002,103.87412370000001,POINT (103.8741237 1.3620971),Ang Mo Kio
Marine Vista ,1.3065755,103.9207448,POINT (103.9207448 1.3065755),Marina Barrage
Pasir Ris St 13 ,1.3634402,103.96162120000001,POINT (103.9616212 1.3634402),Changi
Faber Cres ,1.319425,103.7568483,POINT (103.7568483 1.319425),Ang Mo Kio
Yishun St 81,1.4150832,103.8373311,POINT (103.8373311 1.4150832),Khatib
Kerong Ln ,1.4595837999999999,103.8387767,POINT (103.8387767 1.4595838),Khatib
Chempaka Kuning Lk ,1.3310976,103.9495789,POINT (103.9495789 1.3310976),Changi
Clementi West St 2,1.3036513,103.76278190000001,POINT (103.7627819 1.3036513),Ang Mo Kio
Hougang Ave 6 ,1.3759808,103.8915536,POINT (103.8915536 1.3759808),Ang Mo Kio
Choa Chu Kang Ave 5 ,1.3756012,103.73932070000001,POINT (103.7393207 1.3756012),Khatib
Jurong West St 81,1.3471387,103.69510240000001,POINT (103.6951024 1.3471387),Tuas South
Jln Lokam,1.3468944999999999,103.8843353,POINT (103.8843353 1.3468945),Ang Mo Kio
Canberra Rd,1.4515958999999998,103.8206272,POINT (103.8206272 1.4515959),Khatib
Lor 23 Geylang ,1.3151388000000002,103.88130179999999,POINT (103.8813018 1.3151388),Marina Barrage
 Neram Cres,1.3856943000000002,103.8671064,POINT (103.8671064 1.3856943),Ang Mo Kio
Cheviot Hill ,1.3162292,103.9213094,POINT (103.9213094 1.3162292),Marina Barrage
Jln Gajus ,1.304317,103.899976,POINT (103.899976 1.304317),Marina Barrage
Eunos Ave 7A,1.3230463,103.8945999,POINT (103.8945999 1.3230463),Marina Barrage
"Lor 15, 17Geylang",1.3132796,103.8780559,POINT (103.8780559 1.3132796),Marina Barrage
Jln Kemaman,1.3265704,103.8504964,POINT (103.8504964 1.3265704),Ang Mo Kio
Pasir Ris St 21 ,1.3682576000000002,103.96218640000001,POINT (103.9621864 1.3682576),Changi
Gerald Dr,1.3843675,103.8774573,POINT (103.8774573 1.3843675),Ang Mo Kio
Braddell Rd ,1.3434652,103.8547803,POINT (103.8547803 1.3434652),Ang Mo Kio
Blandford Dr ,1.36018,103.86098559999999,POINT (103.8609856 1.36018),Ang Mo Kio
Yung Ping Rd ,1.3296691,103.7226679,POINT (103.7226679 1.3296691),Tuas South
Tampines Ctrl 7 ,1.3581378,103.9400907,POINT (103.9400907 1.3581378),Changi
Jln Seaview ,1.300828,103.8959163,POINT (103.8959163 1.300828),Marina Barrage
Lengkong Empat ,1.3281155,103.9127553,POINT (103.9127553 1.3281155),Marina Barrage
West Coast Ln ,1.31298,103.7590349,POINT (103.7590349 1.31298),Ang Mo Kio
"Robin Cl, Walk",1.3184252,103.8272704,POINT (103.8272704 1.3184252),Ang Mo Kio
Jln Keli ,1.3552377,103.8346,POINT (103.8346 1.3552377),Ang Mo Kio
Almond St ,1.3714839,103.772803,POINT (103.772803 1.3714839),Khatib
Chander Rd,1.308705,103.8517843,POINT (103.8517843 1.308705),Marina Barrage
Lor 1 Toa Payoh,1.3397621000000002,103.8481821,POINT (103.8481821 1.3397621),Ang Mo Kio
Jln BungaRampai ,1.3397143,103.8834245,POINT (103.8834245 1.3397143),Ang Mo Kio
Kensington Pk Rd,1.3667825,103.8664548,POINT (103.8664548 1.3667825),Ang Mo Kio
